Nazwa,Adres,Telefon,Email,Kuchnia,Google Maps / TripAdvisor,Facebook,Uwagi
Bar Aleppo,al. Grunwaldzka 44 80-241 Gdańsk (Wrzeszcz Górny),+48 58 345 48 77,,Syryjska / bliskowschodnia (kebab falafel),https://www.tripadvisor.com/Restaurant_Review-g274725-d27576298-Reviews-Bar_Aleppo-Gdansk_Pomerania_Province_Northern_Poland.html,https://www.facebook.com/p/Bar-Aleppo-100057498547338/,"Działa od 2008. Godziny: 12:00-20:00. Brak strony WWW potwierdzony w wielu źródłach."
Bar Asia Tuan Anh,ul. Odrzańska 32 80-808 Gdańsk,+48 577 018 999,katarzynamagda91@gmail.com,Azjatycka (wietnamsko-chińska),https://www.tripadvisor.com/Restaurant_Review-g274725-d27584737-Reviews-Bar_Asia_Tuan_Anh-Gdansk_Pomerania_Province_Northern_Poland.html,https://www.facebook.com/p/BAR-ASIA-TUAN-ANH-100054280339968/,"Tylko FB i Gmail. Brak strony WWW. Autentyczna kuchnia azjatycka."
Bar Maciuś (Maciuś. Bar.),al. Grunwaldzka 77 80-236 Gdańsk (Wrzeszcz),+48 58 344 39 36,barmacius1985@gmail.com,Polska (staropolska europejska),https://restaurantguru.com/Bar-Macius-Gdansk,https://www.facebook.com/barmacius/,"Działa od 1985. Zdobywca Srebrnej Patelni. Tylko FB i Gmail. Brak własnej domeny."
HANOI Bar (Ha-Noi),ul. Stanisława Wyspiańskiego 21D 80-434 Gdańsk (Wrzeszcz),58 344 47 56 / 503 179 133,,Wietnamska / azjatycka (takeaway),,https://www.facebook.com/hanoigdanskbar/,"Kultowe miejsce prowadzone przez Chinh Do Xuan od 14+ lat. O właścicielu nakręcono film dokumentalny. Tylko na wynos. Godziny: 12:00-19:00."
OBIAD,Centrum Gdańsk (okolice dworca PKP),,,"Polska domowa (obiady domowe)",https://www.tripadvisor.com/Restaurant_Review-g274725-d33160138-Reviews-Obiad-Gdansk_Pomerania_Province_Northern_Poland.html,https://www.facebook.com/p/OBIAD-61567490961783/,"Nowe miejsce (otwarte 2024/2025). Ocena 5.0 na TripAdvisor. Wyłącznie Facebook. Brak telefonu i strony."
Perła Bałtyku,ul. Oliwska 65 80-563 Gdańsk (Nowy Port),512 677 282,,Polska domowa / kuchnia domowa,https://www.tripadvisor.com/Restaurant_Review-g274725-d7660145-Reviews-Perla_Baltyku-Gdansk_Pomerania_Province_Northern_Poland.html,https://www.facebook.com/p/Per%C5%82a-Ba%C5%82tyku-100057216680700/,"Jedyna restauracja w dzielnicy Nowy Port. Działa od 2011. Pon: zamknięte Wt-Sb: 10:00-20:00 Nd: 10:00-18:00. Brak strony potwierdzony."
Mariacka 1 Food & Wine,ul. Mariacka 1 80-833 Gdańsk (Stare Miasto),576 277 773,,"Europejska / wine bar / steki",https://www.tripadvisor.com/Restaurant_Review-g274725-d23415569-Reviews-Mariacka_1_Food_Wine-Gdansk_Pomerania_Province_Northern_Poland.html,,"Małe klimatyczne miejsce u stóp Bazyliki Mariackiej. Brak strony WWW potwierdzony w wielu katalogach."
Cafe Mariacka (Kawiarnia Mariacka),ul. Mariacka 21/22 80-833 Gdańsk (Stare Miasto),58 301 99 60,,Kawiarnia / kuchnia polska,https://www.tripadvisor.com/Restaurant_Review-g274725-d2388446-Reviews-Cafe_Mariacka-Gdansk_Pomerania_Province_Northern_Poland.html,,"Klasyczne miejsce na ul. Mariackiej. Tylko Instagram (@cafe_mariacka_gdansk). Brak własnej strony."
Słowiańskie Smaki,ul. Mariacka 2/3 80-833 Gdańsk (Stare Miasto),+48 518 839 734,,Słowiańska (ukraińska rosyjska białoruska litewska),https://www.trojmiasto.pl/Slowianskie-Smaki-o89415.html,https://www.facebook.com/tetiana.tetiana.756,"Autentyczna kuchnia słowiańska. TikTok: @slowianskie.smaki. Brak własnej domeny potwierdzony. Druga lokalizacja: Bistro Słowiańskie Smaki ul. Radarowa 18."
Przepis na Restauracja,ul. Jaśkowa Dolina 132/5 80-246 Gdańsk,+48 786 201 806,restauracjaprzepis@gmail.com,"Amerykańska / polska / międzynarodowa",https://www.tripadvisor.com/Restaurant_Review-g274725-d14204418-Reviews-Przepis_na_RESTAURACJA-Gdansk_Pomerania_Province_Northern_Poland.html,,"Godziny: Wt-Nd 13:00-21:00 Pon: zamknięte. Tylko Gmail i TripAdvisor. Brak strony."
Wok Bar Letnica [BORDERLINE],ul. Marynarki Polskiej 59 80-557 Gdańsk (Letnica),537 199 299,,Azjatycka / street food (wok),,https://www.facebook.com/wokbar.asian.street.food/,"UWAGA: Mają tylko wokbar-letnica.menu.pl (platforma trzecia). Brak własnej domeny - dobry kandydat."
Stacja Wrzeszcz bistro & bar [BORDERLINE],ul. Ludwika Waryńskiego 30/31 80-433 Gdańsk (Wrzeszcz),+48 577 880 889,,Polska bistro,https://www.tripadvisor.com/Restaurant_Review-g274725-d23754414-Reviews-Stacja_Wrzeszcz_Bistro_Bar-Gdansk_Pomerania_Province_Northern_Poland.html,https://www.facebook.com/stacjawrzeszcz/,"UWAGA: Domena stacjawrzeszcz.pl zarejestrowana ale NIECZYNNA (connection refused). Strona 'pod budową'. Dobry kandydat."
