Lp.,Nazwa,Adres,Dzielnica,Telefon,Obecność online,Facebook / Social,Uwagi
1,Stacja Wrzeszcz bistro & bar,Wrzeszcz,Wrzeszcz,brak,tylko Facebook,facebook.com/stacjawrzeszcz,brak własnej strony www
2,CHINKALNA Gdańsk Wrzeszcz,Wrzeszcz,Wrzeszcz,brak,tylko Facebook,facebook.com/chinkalniagdanskwrzeszcz,kuchnia gruzińska – brak www
3,Pizzeria 105 Gdańsk Wrzeszcz,"ul. Wyspiańskiego 2/6, Gdańsk",Wrzeszcz,500 105 678,Facebook + dostawa,facebook.com/105wrzeszcz,brak własnej strony
4,Pobite Gary Wrzeszcz,Wrzeszcz,Wrzeszcz,brak,tylko Facebook,facebook.com/pobitegarywrzeszcz,brak własnej strony
5,Bistro POBITE GARY Oliwa,Oliwa,Oliwa,58 554 30 30,Facebook,facebook.com/bistropobitegary,brak własnej strony
6,Bistro Food art Company,"ul. Opata Jacka Rybińskiego 24/7a, Gdańsk",Oliwa,506 501 960,Facebook,brak profilu w wynikach,bistro wegetariańskie – brak www
7,Olivka Pasta Fresca Ristorante,Oliwa,Oliwa,brak,tylko Facebook,facebook.com/olivka.gda,kuchnia włoska – brak www
8,MAMA INDII Restauracja Indyjska,"ul. Franciszka Hynka 57, 80-465 Gdańsk",Oliwa / Zaspa,692 928 777,Facebook,facebook.com/mamaindiigdansk,kuchnia indyjska – brak www
9,Restauracja New Romantica,"ul. Startowa 31, Gdańsk",Zaspa,brak,tylko katalogi,brak,brak www – tylko cityon.pl
10,Burger Stacja,"ul. Hynka 65, Gdańsk",Zaspa,731 253 253,Google Maps,brak,brak www
11,RESTAURACJA LEKKO,"ul. Wczasy 8, Gdańsk Brzeźno",Brzeźno,605 405 779,Instagram,instagram.com/lekkonawczasach,brak www – tylko Instagram
12,Restauracja Zdrojowa,Brzeźno,Brzeźno,brak,tylko Facebook,facebook.com/p/Restauracja-Zdrojowa-100076455484316,brak www
13,Perła Bałtyku,Nowy Port,Nowy Port,brak,tylko Facebook,facebook.com/p/Perła-Bałtyku-100057216680700,brak www – historyczna dzielnica
14,Restauracja Gvara,"ul. Chlebnicka 48/51, Gdańsk",Stare Miasto,795 889 288,Facebook (brak www),facebook.com/restauracjagvara,brak strony www – tylko FB i katalogi
15,Kuchnia Polska Rzeźnia,"Stacja Food Hall, Gdańsk",Śródmieście,brak,tylko Facebook,facebook.com/p/Kuchnia-Polska-Rzeźnia-100091934317418,brak www
16,Restauracja Szeroka,"ul. Szeroka, Gdańsk",Stare Miasto,brak,tylko Facebook,facebook.com/szeroka.azja,kuchnia słowiańska – brak www
17,Restauracja Mazel Tov,"ul. Ogarna 121/122, Gdańsk",Stare Miasto,604 634 170,tylko katalogi,brak,brak www – tylko mapa.targeo
18,Bar Leon,"ul. Stągiewna 5/1, Gdańsk",Wyspa Spichrzów,brak,Google Maps,brak,brak www – tylko Google Maps
19,Restauracja Chmielna,"ul. Chmielna, Gdańsk",Śródmieście,brak,tylko Facebook,facebook.com/Restauracja.Chmielna,brak www
20,Estimo Klub Aktora,"ul. Mariacka 2/3, 80-833 Gdańsk",Stare Miasto,brak,tylko mapa.targeo,brak,brak www – tylko katalogi
21,Sami Swoi Restauracja,Gdańsk,Śródmieście,brak,tylko Facebook,facebook.com/p/Sami-Swoi-Restauracja-100036175579850,brak www
